Customer_ID,Pramata_Number,Document_Title,Document_Type,Effective_Date,Renewal_Date,Contract_Risk
1,10001,Master Services Agreement for National Bank,MSA,2016-10-27,2019-11-27,22
1,10002,Amendment to 10001,Amendment,2013-05-24,2019-12-19,41
1,10003,Service Order 10003,Service Order,2014-07-29,2019-08-13,84
1,10004,Service Order 10004,Service Order,2013-01-31,2019-09-10,21
1,10005,Service Order 10005,Service Order,2017-12-22,2019-11-30,55
1,10006,Service Order 10006,Service Order,2016-01-11,2019-02-03,19
1,10007,Service Order 10007,Service Order,2016-03-09,2019-02-09,81
1,10008,Service Order 10008,Service Order,2015-03-02,2019-06-09,77
2,10009,Master Services Agreement for Stark Industries,MSA,2017-09-30,2019-12-23,71
2,10010,Amendment to 10009,Amendment,2015-04-01,2020-02-01,0
2,10011,Service Order 10011,Service Order,2017-04-15,2018-12-29,87
2,10012,Service Order 10012,Service Order,2017-06-23,2018-10-03,97
3,10013,Master Services Agreement for Miracle,MSA,2016-01-08,2019-10-10,3
3,10014,Service Order 10014,Service Order,2013-04-12,2019-06-27,71
3,10015,Service Order 10015,Service Order,2015-04-13,2019-04-30,43
3,10016,Service Order 10016,Service Order,2013-04-24,2019-08-03,19
3,10017,Master Services Agreement 2 for Miracle,MSA,2015-02-17,2019-06-21,47
3,10018,Amendment to 10017,Amendment,2016-10-21,2020-01-18,71
3,10019,Service Order 10019,Service Order,2013-05-10,2019-09-18,70
4,10020,Master Services Agreement for Initech,MSA,2016-06-16,2019-06-02,98
4,10021,Service Order 10021,Service Order,2013-09-02,2019-07-07,1
4,10022,Service Order 10022,Service Order,2013-10-16,2019-08-18,87
4,10023,Service Order 10023,Service Order,2018-01-09,2019-11-21,5
4,10024,Service Order 10024,Service Order,2017-09-26,2018-12-28,32
5,10025,Master Services Agreement for Raptas Telecom,MSA,2014-07-06,2019-07-10,43
5,10026,Service Order 10026,Service Order,2017-10-19,2019-02-28,82
5,10027,Service Order 10027,Service Order,2018-01-29,2019-05-30,84
5,10028,Service Order 10028,Service Order,2013-07-09,2018-11-18,73
6,10029,Service Order 10029,Service Order,2017-04-02,2019-01-27,96
6,10030,Master Services Agreement for Gekko Pharma,MSA,2018-02-23,2019-07-20,54
6,10031,Service Order 10031,Service Order,2016-12-01,2019-05-17,50
6,10032,Service Order 10032,Service Order,2014-11-12,2019-07-04,30
6,10033,Service Order 10033,Service Order,2014-11-12,2019-07-25,0
6,10034,Service Order 10034,Service Order,2016-04-03,2019-06-15,23
6,10035,Service Order 10035,Service Order,2013-11-18,2020-02-10,74
7,10036,Master Services Agreement for Gringotts Finance,MSA,2015-06-21,2019-03-27,54
7,10037,Service Order 10037,Service Order,2013-02-12,2019-06-15,35
7,10038,Service Order 10038,Service Order,2016-07-14,2019-10-21,61
7,10039,Service Order 10039,Service Order,2016-04-19,2020-02-05,60
7,10040,Service Order 10040,Service Order,2014-06-27,2019-05-21,94
7,10041,Service Order 10041,Service Order,2013-08-22,2019-06-18,91
7,10042,Service Order 10042,Service Order,2015-07-21,2018-12-09,47
7,10043,Service Order 10043,Service Order,2018-03-12,2020-02-05,92
