Pramata_Number,Product_Name,Unit_Price,Activation_Date,Product_Quantity,Total_Price,Product_Expiration_Date
10001,Colocation,10,2015-05-29,45,450,2015-06-20
10001,Network,20,2017-05-24,94,1880,2017-06-15
10001,cisco router ,21,2016-02-22,90,1890,2016-03-15
10002,Colocation,22,2013-01-25,15,330,2013-02-16
10002,Network,23,2015-12-17,90,2070,2016-01-08
10002,cisco router ,24,2016-11-11,20,480,2016-12-03
10003,Colocation,25,2017-04-24,80,2000,2017-05-16
10003,Network,26,2013-12-23,92,2392,2014-01-14
10003,cisco router ,27,2017-05-26,40,1080,2017-06-17
10004,Colocation,28,2014-09-15,27,756,2014-10-07
10004,Network,29,2013-08-30,52,1508,2013-09-21
10004,cisco router ,30,2014-06-09,54,1620,2014-07-01
10005,Colocation,31,2014-11-09,39,1209,2014-12-01
10005,Network,32,2017-09-10,80,2560,2017-10-02
10005,cisco router ,33,2015-09-15,4,132,2015-10-07
10006,Colocation,34,2015-06-21,15,510,2015-07-13
10006,Network,35,2014-10-24,29,1015,2014-11-15
10006,cisco router ,36,2015-02-23,8,288,2015-03-17
10007,Colocation,37,2015-03-03,69,2553,2015-03-25
10007,Network,38,2017-11-13,48,1824,2017-12-05
10007,cisco router ,39,2015-02-17,29,1131,2015-03-11
10008,Colocation,40,2014-05-20,89,3560,2014-06-11
10008,Network,41,2014-09-13,75,3075,2014-10-05
10008,cisco router ,42,2016-04-24,52,2184,2016-05-16
10009,Colocation,43,2017-12-10,91,3913,2018-01-01
10009,Network,44,2016-09-13,71,3124,2016-10-05
10009,cisco router ,45,2016-05-02,79,3555,2016-05-24
10010,Colocation,46,2013-01-09,40,1840,2013-01-31
10010,Network,47,2016-10-22,7,329,2016-11-13
10010,cisco router ,48,2013-12-14,18,864,2014-01-05
10011,Colocation,49,2015-02-20,38,1862,2015-03-14
10011,Network,50,2018-02-05,81,4050,2018-02-27
10011,cisco router ,51,2015-10-30,42,2142,2015-11-21
10012,Colocation,52,2013-03-31,64,3328,2013-04-22
10012,Network,53,2015-06-14,79,4187,2015-07-06
10012,cisco router ,54,2016-03-29,50,2700,2016-04-20
10013,Colocation,55,2017-04-30,79,4345,2017-05-22
10013,Network,56,2015-07-29,29,1624,2015-08-20
10013,cisco router ,57,2014-07-26,34,1938,2014-08-17
10014,Colocation,58,2015-01-01,36,2088,2015-01-23
10014,Network,59,2015-09-22,17,1003,2015-10-14
10014,cisco router ,60,2016-03-28,93,5580,2016-04-19
10015,Colocation,61,2014-08-18,27,1647,2014-09-09
10015,Network,62,2015-12-05,31,1922,2015-12-27
10015,cisco router ,63,2017-08-28,43,2709,2017-09-19
10016,Colocation,64,2016-03-07,75,4800,2016-03-29
10016,Network,65,2015-01-25,91,5915,2015-02-16
10016,cisco router ,66,2017-06-29,71,4686,2017-07-21
10017,Colocation,67,2013-09-05,32,2144,2013-09-27
10017,Network,68,2018-02-23,1,68,2018-03-17
10017,cisco router ,69,2018-01-20,1,69,2018-02-11
10018,Colocation,70,2016-12-06,35,2450,2016-12-28
10018,Network,71,2016-01-18,84,5964,2016-02-09
10018,cisco router ,72,2014-03-25,52,3744,2014-04-16
10019,Colocation,73,2017-10-25,83,6059,2017-11-16
10019,Network,74,2016-01-12,21,1554,2016-02-03
10019,cisco router ,75,2017-06-18,95,7125,2017-07-10
10020,Colocation,76,2015-11-30,40,3040,2015-12-22
10020,Network,77,2014-09-18,65,5005,2014-10-10
10020,cisco router ,78,2015-12-29,83,6474,2016-01-20
10021,Colocation,79,2013-05-08,36,2844,2013-05-30
10021,Network,80,2016-12-03,76,6080,2016-12-25
10021,cisco router ,81,2013-02-08,5,405,2013-03-02
10022,Colocation,82,2016-11-28,95,7790,2016-12-20
10022,Network,83,2017-04-21,11,913,2017-05-13
10022,cisco router ,84,2017-10-29,76,6384,2017-11-20
10023,Colocation,85,2016-12-02,17,1445,2016-12-24
10023,Network,86,2015-03-05,62,5332,2015-03-27
10023,cisco router ,87,2013-09-27,36,3132,2013-10-19
10024,Colocation,88,2016-04-10,18,1584,2016-05-02
10024,Network,89,2017-02-18,47,4183,2017-03-12
10024,cisco router ,90,2015-03-18,83,7470,2015-04-09
10025,Colocation,91,2018-01-29,3,273,2018-02-20
10025,Network,92,2015-04-14,23,2116,2015-05-06
10025,cisco router ,93,2015-08-07,26,2418,2015-08-29
10026,Colocation,94,2016-06-02,89,8366,2016-06-24
10026,Network,95,2016-05-23,56,5320,2016-06-14
10026,cisco router ,96,2014-03-18,36,3456,2014-04-09
10027,Colocation,97,2017-02-28,89,8633,2017-03-22
10027,Network,98,2013-10-28,82,8036,2013-11-19
10027,cisco router ,99,2015-06-23,36,3564,2015-07-15
